[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/home | NOTIC: [8] Undefined offset: 1 CommonAction.class.php 第 154 行.
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/home | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Index' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/home | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `menu_id` = null ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/home | SQL: SELECT `menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 3 ) AND ( `func_name` = 'home' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/home | NOTIC: [8] Use of undefined constant url - assumed 'url' CommonAction.class.php 第 138 行.
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/home | NOTIC: [2] Invalid argument supplied for foreach() IndexAction.class.php 第 125 行.
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/home | NOTIC: [8] Undefined variable: role_list IndexAction.class.php 第 133 行.
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/home | NOTIC: [2] implode(): Invalid arguments passed IndexAction.class.php 第 133 行.
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/home | SQL: SELECT COUNT(*) AS tp_count FROM `cms_logadmin` WHERE ( `admin_id` = '1' ) AND ( `action` = 'login' ) LIMIT 1   [ RunTime:0.203125s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/home | SQL: SELECT MAX(log_id) AS tp_max FROM `cms_logadmin` WHERE ( `admin_id` = '1' ) AND ( `action` = 'login' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/home | SQL: SELECT * FROM `cms_logadmin` WHERE ( `admin_id` = '1' ) AND ( `action` = 'login' ) AND ( `log_id` < '854' ) ORDER BY log_id DESC LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/home | SQL: SELECT `site_title` FROM `cms_config` ORDER BY id ASC LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/home | INFO: Tag[ view_template ] --START--
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/home | INFO: Run LocationTemplate Behavior [ RunTime:0.062500s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/home | INFO: Tag[ view_template ] --END-- [ RunTime:0.062500s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/home | INFO: Tag[ view_parse ] --START--
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/home | INFO: Run ParseTemplate Behavior [ RunTime:0.093750s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/home | INFO: Tag[ view_parse ] --END-- [ RunTime:0.093750s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/home | INFO: Tag[ view_filter ] --START--
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/home | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/home | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/home | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/home | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/home | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/home | INFO: Tag[ view_end ] --START--
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/home | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/home | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/left | INFO: Tag[ route_check ] --START--
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/left | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/left | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/left | INFO: Tag[ app_begin ] --START--
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/left | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:52+08:00 ] /admin.php/index/left | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
