[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | SQL: SELECT * FROM `cms_role_mode` WHERE user_id = 11 and shop_id=5  [ RunTime:0.000000s ]
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | SQL: SELECT sum(price) as sumprice,sum(discount) as sumdiscount,sum(jingpian_price) as sumjingpian_price,sum(jingpian_discount) as sumjingpian_discount,sum(processing_fee) as sumprocessing_fee_all,sum(case when int_processing_fee = 1  then processing_fee else 0 end) as sumprocessing_fee,sum(spending) as sumspending_all,sum( case when int_spending = 1  then spending else 0 end) as sumspending,sum(taxes_fee) as sumtaxes_fee_all,sum(case when int_taxes_fee = 1  then taxes_fee else 0 end) as sumtaxes_fee,sum(financial_cost) as sumfinancial_cost_all,sum(case when int_financial_cost = 1  then financial_cost else 0 end) as sumfinancial_cost FROM `cms_cost` WHERE shop_id = 5  and input_date like "%2015-11%" LIMIT 1   [ RunTime:0.001000s ]
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8] Undefined variable: sumprocessing_fee IndexAction.class.php 第 139 行.
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | SQL: SELECT sum(price) as sumprice,sum(discount) as sumdiscount,sum(case when int_price_change = 1 then  price_change  else 0 end) as sumprice_change,sum(price_change) as sumprice_change_all,sum(case when int_operating_income = 1 then operating_income else 0 end) as sumoperating_income,sum(operating_income) as sumoperating_income_all,sum(case when int_subsidy_income = 1 then subsidy_income else 0 end ) as sumsubsidy_income,sum(subsidy_income) as sumsubsidy_income_all,sum(case when int_return_amount = 1 then return_amount else 0 end) as sumreturn_amount,sum(return_amount) as sumreturn_amount_all FROM `cms_incomestatement` WHERE shop_id = 5 and input_date like "%2015-11%" LIMIT 1   [ RunTime:0.000000s ]
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | SQL: SELECT sum(case when int_transfer = 1  then transfer else 0  end ) as sumtransfer,sum(case when int_pr_cost = 1 then pr_cost else 0  end) as sumpr_cost,sum(case when int_shuidianweisheng_fee = 1 then shuidianweisheng_fee else 0  end) as sumshuidianweisheng_fee,sum(case when int_wuye_fee = 1 then wuye_fee else 0  end) as sumwuye_fee,sum(case when int_advertising_fee = 1 then advertising_fee else 0  end ) as sumadvertising_fee,sum(case when int_cuxiao_fee = 1 then cuxiao_fee else 0  end) as sumcuxiao_fee,sum(case when int_xiaoshoufuliao_fee = 1 then xiaoshoufuliao_fee else 0  end) as sumxiaoshoufuliao_fee,sum(case when int_zhuangxiuweihu_fee = 1 then zhuangxiuweihu_fee else 0  end) as sumzhuangxiuweihu_fee,sum(case when int_shebeiweihu then shebeiweihu else 0  end) as sumshebeiweihu,sum(case when int_zhejiutuixiao = 1 then zhejiutuixiao end) as sumzhejiutuixiao,sum(case when int_jiameng =1 then jiameng else 0  end ) as sumjiameng,sum(case when int_pinpaishiyong_fee =1 then pinpaishiyong_fee else 0  end) as sumpinpaishiyong_fee,sum(case when int_jiameng_fee = 1 then jiameng_fee else 0  end) as sumjiameng_fee,sum(case when int_qita =1 then jiameng_fee else 0  end) as sumqita FROM `cms_sell_fee` WHERE input_date like "%2015-11%" and shop_id = 5 LIMIT 1   [ RunTime:0.001000s ]
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | SQL: SELECT sum( case when int_rent_money = 1 then rent_money else 0 end )as sumrent_money FROM `cms_sell_fee` WHERE input_date like "%2015-11%" and shop_id = 5 LIMIT 1   [ RunTime:0.001000s ]
